Endpoint;Total Time Taken in seconds
http://dbpedia.org/sparql;0.246
http://dbpedia.org/sparql;0.229
https://query.wikidata.org/sparql;20.94
https://query.wikidata.org/sparql;4.78
https://query.wikidata.org/sparql;5.983
https://query.wikidata.org/sparql;49.825
https://query.wikidata.org/sparql;33.698
https://query.wikidata.org/sparql;24.666
http://dbpedia.org/sparql;1.079
http://dbpedia.org/sparql;1.329
http://dbpedia.org/sparql;0.194
https://query.wikidata.org/sparql;0.975
http://dbpedia.org/sparql;0.264
http://dbpedia.org/sparql;0.228
http://dbpedia.org/sparql;0.301
https://query.wikidata.org/sparql;3.629
https://query.wikidata.org/sparql;0.538
https://query.wikidata.org/sparql;16.907
http://dbpedia.org/sparql;0.171
https://query.wikidata.org/sparql;2.41
https://query.wikidata.org/sparql;0.106
https://query.wikidata.org/sparql;21.749
http://dbpedia.org/sparql;0.644
http://dbpedia.org/sparql;0.182
http://dbpedia.org/sparql;0.166
http://dbpedia.org/sparql;1.444
https://query.wikidata.org/sparql;2.739
http://dbpedia.org/sparql;0.238
https://query.wikidata.org/sparql;2.968
https://query.wikidata.org/sparql;24.478
http://dbpedia.org/sparql;0.153
https://query.wikidata.org/sparql;0.699
https://query.wikidata.org/sparql;0.469
http://dbpedia.org/sparql;1.749
http://dbpedia.org/sparql;0.176
http://dbpedia.org/sparql;0.171
http://dbpedia.org/sparql;0.172
https://query.wikidata.org/sparql;0.474
https://query.wikidata.org/sparql;45.35
https://query.wikidata.org/sparql;39.854
http://dbpedia.org/sparql;0.163
https://query.wikidata.org/sparql;18.849
https://query.wikidata.org/sparql;45.008
http://dbpedia.org/sparql;0.189
http://dbpedia.org/sparql;0.172
https://query.wikidata.org/sparql;0.673
http://dbpedia.org/sparql;1.437
http://dbpedia.org/sparql;0.251
https://query.wikidata.org/sparql;31.933
https://query.wikidata.org/sparql;24.041
http://dbpedia.org/sparql;0.153
https://query.wikidata.org/sparql;0.443
http://dbpedia.org/sparql;0.907
https://query.wikidata.org/sparql;0.343
https://query.wikidata.org/sparql;0.819
https://query.wikidata.org/sparql;0.14
https://query.wikidata.org/sparql;3.653
https://query.wikidata.org/sparql;32.124
https://query.wikidata.org/sparql;44.392
http://dbpedia.org/sparql;0.54
http://dbpedia.org/sparql;2.26
http://dbpedia.org/sparql;0.242
http://dbpedia.org/sparql;0.493
https://query.wikidata.org/sparql;1.156
https://query.wikidata.org/sparql;11.705
https://query.wikidata.org/sparql;44.019
https://query.wikidata.org/sparql;32.006
http://dbpedia.org/sparql;0.418
https://query.wikidata.org/sparql;1.396
https://query.wikidata.org/sparql;1.645
https://query.wikidata.org/sparql;1.696
https://query.wikidata.org/sparql;2.852
https://query.wikidata.org/sparql;0.635
https://query.wikidata.org/sparql;1.69
https://query.wikidata.org/sparql;1.989
https://query.wikidata.org/sparql;1.347
https://query.wikidata.org/sparql;1.816
https://query.wikidata.org/sparql;2.257
https://query.wikidata.org/sparql;4.641
https://query.wikidata.org/sparql;0.56
https://query.wikidata.org/sparql;1.95
https://query.wikidata.org/sparql;0.449
https://query.wikidata.org/sparql;1.654
https://query.wikidata.org/sparql;1.28
https://query.wikidata.org/sparql;1.992
https://query.wikidata.org/sparql;1.618
https://query.wikidata.org/sparql;2.273
https://query.wikidata.org/sparql;0.219
